AC_MODEL,AC_TYPE_CODE
727-277,7420
727-277(F)(HK),7427
727-277(F)(W),7425
727-281(F)(HK),7427
727-281(HK),7422
727-282(HK),7422
727-284,7420
727-286,7420
727-287(F)(HK),7427
727-287(HK),7422
727-290(HK),7422
727-291,7420
727-291(F)(HK),7427
727-294(HK),7422
727-295,7420
727-2A1(F)(HK),7427
727-2A1(HK),7422
727-2A7,7420
727-2B6(F)(HK),7427
727-2B6(HK),7422
727-2B7(HK),7422
727-2D3(HK),7422
727-2D4(F)(HK),7427
727-2D6(HK),7422
727-2F2,7420
727-2F2(F)(HK),7427
727-2F9(F)(HK),7427
727-2F9(F)(W)(HK),7427
727-2H3,7420
727-2H3(F)(HK),7427
727-2H9,7420
727-2J1,7420
727-2J4(F)(HK),7427
727-2J4(HK),7422
727-2J7(F)(HK),7427
727-2J7(HK),7422
727-2K3(HK),7422
727-2K3(W),7420
727-2K5(F)(HK),7427
727-2K5(HK),7422
727-2L4(W)(HK),7422
727-2L5,7420
727-2L8,7420
727-2M7(HK),7422
727-2M7(W),7420
727-2N8,7420
727-2Q4(F)(HK),7427
727-2Q6(F)(HK),7427
727-2Q6(HK),7422
727-2Q8(HK),7422
727-2Q9(F)(HK),7427
727-2R1,7420
727-2S2F(HK),7427
727-2S7(HK),7422
727-2T3(HK),7422
728-100,6014
737-112,6410
737-130,6410
737-159,6410
737-201(HK),6421
737-202C,6425
737-204(F),6425
737-204(HK),6421
737-204C,6425
737-205(HK),6421
737-205C,6426
737-205C(HK),6426
737-209,6420
737-209(F),6426
737-209(F)(HK),6426
737-209(HK),6421
737-210,6420
737-210C(HK),6426
737-212,6420
737-214(HK),6421
737-217(HK),6421
737-219(HK),6421
737-219C,6426
737-219C(HK),6426
737-222(HK),6421
737-228(HK),6421
737-229(HK),6421
737-229C(HK),6426
737-230(F),6426
737-230(HK),6421
737-230C(HK),6426
737-232(F),6426
737-232(HK),6421
737-236(HK),6421
737-241,6420
737-242(HK),6421
737-242C(HK),6426
737-244(F),6425
737-244(HK),6421
737-247(HK),6421
737-248,6420
737-248C(HK),6426
737-258,6420
737-25A(HK),6421
737-25C(F),6425
737-260,6420
737-266,6420
737-268(HK),6421
737-268C,6425
737-269(HK),6421
737-270C,6425
737-275(HK),6421
737-275C(HK),6426
737-277(HK),6421
737-27A,6420
737-281(HK),6421
737-282(HK),6421
737-282C(HK),6426
737-284(HK),6421
737-286,6420
737-286C,6425
737-287,6420
737-287C,6425
737-290C,6426
737-290C(HK),6426
737-291(HK),6421
737-293,6420
737-296(HK),6421
737-297(HK),6421
737-298C(HK),6426
737-2A1(F),6425
737-2A1(HK),6421
737-2A1C,6425
737-2A3(HK),6421
737-2A6,6420
737-2A8,6420
737-2A8(F),6425
737-2A8C,6425
737-2A9,6420
737-2A9C,6426
737-2A9C(HK),6426
737-2B1,6420
737-2B1C,6426
737-2B1C(HK),6426
737-2B2,6420
737-2B6(HK),6421
737-2B6C,6426
737-2B6C(HK),6426
737-2B7(HK),6421
737-2C0,6420
737-2C3,6420
737-2C9,6420
737-2D6(HK),6421
737-2D6C(HK),6426
737-2E1,6420
737-2E1(F),6425
737-2E3(HK),6421
737-2E7(HK),6421
737-2F9,6420
737-2H3(HK),6421
737-2H3C,6425
737-2H4(HK),6421
737-2H4C,6425
737-2H5(HK),6421
737-2H6(HK),6421
737-2H6C,6425
737-2H7C,6425
737-2J8(HK),6421
737-2J8C,6425
737-2K2(HK),6421
737-2K2C,6426
737-2K2C(HK),6426
737-2K3(HK),6421
737-2K5(HK),6421
737-2K6(HK),6421
737-2K9(F),6425
737-2K9(HK),6421
737-2L7,6420
737-2L7C,6425
737-2L9(HK),6421
737-2M2,6420
737-2M2C,6425
737-2M6,6420
737-2M6C,6425
737-2M8(HK),6421
737-2M9,6420
737-2N0,6420
737-2N1,6420
737-2N7,6420
737-2N8,6420
737-2N9C,6425
737-2P5(HK),6421
737-2P6(HK),6421
737-2Q2C,6425
737-2Q3,6420
737-2Q5C,6425
737-2Q8(HK),6421
737-2Q8C,6426
737-2Q8C(HK),6426
737-2Q9(HK),6421
737-2R4C,6425
737-2R6C,6425
737-2R8C,6425
737-2S2C(HK),6426
737-2S3(HK),6421
737-2S5C,6425
737-2S9(HK),6421
737-2T2(HK),6421
737-2T2C,6426
737-2T2C(HK),6426
737-2T4(F),6425
737-2T4(HK),6421
737-2T4C,6426
737-2T4C(HK),6426
737-2T5(HK),6421
737-2T7(HK),6421
737-2U4(HK),6421
737-2U9(HK),6421
737-2V2,6420
737-2V5,6420
737-2V6(HK),6421
737-2W8(HK),6421
737-2X2,6420
737-2X6C(HK),6426
737-2Y5(HK),6421
737-301,6430
737-301(F),6435
737-306,6430
737-306(F),6435
737-317,6430
737-319,6430
737-319(F),6435
737-31B,6430
737-31B(F),6435
737-31L,6430
737-31S,6430
737-31S(W),6430
737-322,6430
737-322(F),6435
737-322(W),6430
737-329,6430
737-32Q,6430
737-32Q(W),6430
737-330,6430
737-330(F),6435
737-330(W),6430
737-332,6430
737-332(F),6435
737-33A,6430
737-33A(F),6435
737-33A(W),6430
737-33R,6430
737-33R(W),6430
737-33S(W),6430
737-33V,6430
737-33V(F),6435
737-33V(F)(W),6435
737-33V(W),6430
737-340,6430
737-341,6430
737-341(F),6435
737-347,6430
737-347(F),6435
737-348(F),6435
737-34S,6430
737-34S(F),6435
737-35B,6430
737-35B(F),6435
737-35N,6430
737-35N(F),6435
737-36E,6430
737-36E(F),6435
737-36M,6430
737-36N,6430
737-36N(F),6435
737-36N(W),6430
737-36Q,6430
737-36Q(F),6435
737-36Q(W),6430
737-36R,6430
737-36R(F),6435
737-375,6430
737-375(F),6435
737-376,6430
737-376(ETOPS),6430
737-376(F),6435
737-377,6430
737-377(F),6435
737-377(W),6430
737-37K,6430
737-37K(F),6435
737-37Q,6430
737-382,6430
737-382(F),6435
737-38B(F),6435
737-38J,6430
737-39A,6430
737-39A(W),6430
737-39K,6430
737-39K(F),6435
737-39M(F),6435
737-39P,6430
737-39P(F),6435
737-3A1,6430
737-3A4,6430
737-3B3(F),6435
737-3B7,6430
737-3B7(F),6435
737-3G7,6430
737-3G7(F),6435
737-3H4,6430
737-3H4(F)(W),6435
737-3H4(W),6430
737-3H6(F),6435
737-3H9,6430
737-3J6,6430
737-3J6(F),6435
737-3K2,6430
737-3K9,6430
737-3L9,6430
737-3L9(F),6435
737-3L9(W),6430
737-3M8,6430
737-3M8(F),6435
737-3M8(W),6430
737-3Q4,6430
737-3Q4(F),6435
737-3Q8,6430
737-3Q8(F),6435
737-3S1,6430
737-3S1(F),6435
737-3S3,6430
737-3S3(F),6435
737-3T0,6430
737-3T0(F),6435
737-3T0(W),6430
737-3T5,6430
737-3U3,6430
737-3U3(W),6430
737-3U8,6430
737-3U8(F),6435
737-3W0,6430
737-3W0(F),6435
737-3Y0,6430
737-3Y0(F),6435
737-3Y0(W),6430
737-3Y5,6430
737-3Y5(F),6435
737-3Y5(W),6430
737-3Y9,6430
737-3Z0,6430
737-3Z0(F),6435
737-3Z9,6430
737-401,6440
737-405,6440
737-405(F),6445
737-406,6440
737-406(F),6445
737-408,6440
737-408(F),6445
737-429,6440
737-429(F),6445
737-42C,6440
737-42C(F),6445
737-42J,6440
737-42J(F),6445
737-42R,6440
737-430,6440
737-436,6440
737-436(F),6445
737-43Q,6440
737-43Q(F),6445
737-446,6440
737-446(F),6445
737-448,6440
737-448(F),6445
737-44P,6440
737-44P(F),6445
737-45D,6440
737-45D(F),6445
737-45R,6440
737-45R(F),6445
737-45S,6440
737-46B,6440
737-46J,6440
737-46J(F),6445
737-46M,6440
737-46N,6440
737-46Q,6440
737-46Q(F),6445
737-476,6440
737-476(ETOPS),6440
737-476(F),6445
737-484,6440
737-484(F),6445
737-48E,6440
737-48E(F),6445
737-490,6440
737-490(F),6445
737-497,6440
737-49R,6440
737-49R(F),6445
737-4B3,6440
737-4B3(F),6445
737-4B6,6440
737-4B6(F),6445
737-4B7,6440
737-4B7(F),6445
737-4C9,6440
737-4C9(F),6445
737-4D7,6440
737-4D7(F),6445
737-4H6,6440
737-4H6(F),6445
737-4K5,6440
737-4K5(F),6445
737-4L7,6440
737-4L7(F),6445
737-4M0,6440
737-4M0(F),6445
737-4Q3,6440
737-4Q3(F),6445
737-4Q8,6440
737-4Q8(F),6445
737-4S3,6440
737-4S3(F),6445
737-4U3,6440
737-4Y0,6440
737-4Y0(F),6445
737-4Z9,6440
737-4Z9(F),6445
737-505,6450
737-505(W),6450
737-522,6450
737-524,6450
737-524(W),6450
737-528,6450
737-528(W),6450
737-529,6450
737-529(W),6450
737-530,6450
737-53A,6450
737-53C,6450
737-53S,6450
737-548,6450
737-548(W),6450
737-54K,6450
737-55D,6450
737-55D(W),6450
737-55S,6450
737-566,6450
737-56N,6450
737-58E,6450
737-59D,6450
737-59D(W),6450
