AIRPORT_ICAO,AIRPORT_IATA,AIRPORT_NAME,AIRPORT_CITY,AIRPORT_CITY_CD,AIRPORT_STATE_CD,AIRPORT_COUNTRY_CD,AIRPORT_COUNTRY,AIRPORT_REGION,AIRPORT_REGION_TIMEZONE,UTC_HR_OFFSET,AIRPORT_LATITUDE,AIRPORT_LONGITUDE,AIRPORT_ELEVATION,AIRPORT_SIZE,UPDATED_DT
SVGI,GUI,Guiria Airport,Guiria,GUI,"",VE,Venezuela,South America,America/Caracas,-4,10.566667,-62.3,43,5,2017-10-10 11:17:20
SVGU,GUQ,Guanare Airport,Guanare,GUQ,"",VE,Venezuela,South America,America/Caracas,-4,9.025278,-69.75,607,5,2017-10-10 11:17:20
SVHG,HGE,Higuerote Airport,Higuerote,"","",VE,Venezuela,South America,America/Caracas,-4,10.463604,-66.095095,10,4,2017-10-10 11:17:20
SVIC,ICA,Icabaru Airport,Icabaru,ICA,"",VE,Venezuela,South America,America/Caracas,-4,4.333333,-61.733333,1575,5,2017-10-10 11:17:20
SVJC,LSP,Josefa Camejo Airport,Las Piedras,LSP,"",VE,Venezuela,South America,America/Caracas,-4,11.777155,-70.14961,76,4,2017-10-10 11:17:20
SVKA,KAV,Kavanayen Airport,Kavanayen,KAV,"",VE,Venezuela,South America,America/Caracas,-4,5.666667,-61.766667,3904,5,2017-10-10 11:17:20
SVLF,LFR,La Fria Airport,La Fria,LFR,"",VE,Venezuela,South America,America/Caracas,-4,8.240556,-72.272222,305,4,2017-10-10 11:17:20
SVMC,MAR,La Chinita Airport,Maracaibo,MAR,"",VE,Venezuela,South America,America/Caracas,-4,10.555564,-71.723508,235,3,2017-10-10 11:17:20
SVMD,MRD,Alberto Carnevalli Airport,Merida,MRD,"",VE,Venezuela,South America,America/Caracas,-4,8.582471,-71.160504,4911,4,2017-10-10 11:17:20
SVMG,PMV,Santiago Marino International Airport,Porlamar,PMV,"",VE,Venezuela,South America,America/Caracas,-4,10.917189,-63.968992,74,3,2017-10-10 11:17:20
SVMI,CCS,Simon Bolivar International Airport,Caracas,CCS,"",VE,Venezuela,South America,America/Caracas,-4,10.596942,-67.005511,235,2,2017-10-10 11:17:20
SVMT,MUN,Jose Tadeo Monagas International Airport,Maturin,MUN,"",VE,Venezuela,South America,America/Caracas,-4,9.749384,-63.156931,224,4,2017-10-10 11:17:20
SVPA,PYH,Puerto Ayacucho Airport,Puerto Ayacucho,PYH,"",VE,Venezuela,South America,America/Caracas,-4,5.6,-67.5,245,4,2017-10-10 11:17:20
SVPC,PBL,General Bartolome Salom International Airport,Puerto Cabello,PBL,"",VE,Venezuela,South America,America/Caracas,-4,10.479167,-68.073611,33,4,2017-10-10 11:17:20
SVPM,SCI,San Cristobal Airport,San Cristobal,SCI,"",VE,Venezuela,South America,America/Caracas,-4,7.800072,-72.199896,3404,4,2017-10-10 11:17:20
